web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location
"1699912011-1","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Einjährige Jubiläumsausstellung","384 Events","Musée Visionnaire, Zürich (CH)"
"1699912011-2","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","11. Porny Days","Freitag, 01. Dezember, 00:00","Stadt Zürich, Zürich (CH)"
"1699912011-3","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Remember, you are but tiny bits of existence","168 Events","Tableau Zurich, Zürich (CH)"
"1699912011-4","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Bürkliplatz, Zürich (CH)"
"1699912011-5","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Helvetiaplatz, Zürich (CH)"
"1699912011-6","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Milchbuckstrasse, Zürich (CH)"
"1699912011-7","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","2","Unseen Sights","50 Events","Universitätsklinik Balgrist, Zürich (CH)"
"1699912011-8","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","13","What We Know","26 Events","Kulturhaus Helferei | Foyer, Zürich (CH)"
"1699912011-9","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","3","Alles, was Sie brauchen!","111 Events","Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)"
"1699912011-10","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1","Constitutio","16 Events","Karl der Grosse | Foyer, Zürich (CH)"
