web-scraper-order,web-scraper-start-url,link,link-href,name,is_eventgruppe,datetime,location
"1699914567-1","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				1
			
			
			
				Adventskalendergeschichten 2023
									Freitag, 01. Dezember, 00:00 – Samstag, 23. Dezember, 23:59
								Stadtbibliothek Katharinen, St. Gallen (CH)","https://eventfrog.ch/de/p/theater-buehne/adventskalendergeschichten-2023-7126341801657495399.html","Adventskalendergeschichten 2023","","Freitag, 01. Dezember, 00:00 – Samstag, 23. Dezember, 23:59","Stadtbibliothek Katharinen, St. Gallen (CH)"
"1699914567-2","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Nov
				30
			
			
			
				Einjährige Jubiläumsausstellung
									384 Events
								Musée Visionnaire, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/einjaehrige-jubilaeumsausstellung-7124792867919189088.html","Einjährige Jubiläumsausstellung","Eventgruppe","384 Events","Musée Visionnaire, Zürich (CH)"
"1699914567-3","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Jan
				15
			
			
			
				Artbox #115 - Was bleibt
									64 Events
								Bahnhof Thalwil, Thalwil (CH)","https://eventfrog.ch/de/p/gruppen/artbox-115-was-bleibt-7124786349555547873.html","Artbox #115 - Was bleibt","Eventgruppe","64 Events","Bahnhof Thalwil, Thalwil (CH)"
"1699914567-4","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				1
			
			
			
				11. Porny Days
									Freitag, 01. Dezember, 00:00
								Stadt Zürich, Zürich (CH)","https://eventfrog.ch/de/p/festivals/11-porny-days-7123626072923436600.html","11. Porny Days","","Freitag, 01. Dezember, 00:00","Stadt Zürich, Zürich (CH)"
"1699914567-5","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				1
			
			
			
				Kunsthandwerk Weihnachtsausstellung
									Freitag, 01. Dezember, 00:00 – Sonntag, 03. Dezember, 23:59
								Multschür, Gossau SG (CH)","https://eventfrog.ch/de/p/kunst-ausstellungen/kunsthandwerk-weihnachtsausstellung-7121270996313566495.html","Kunsthandwerk Weihnachtsausstellung","","Freitag, 01. Dezember, 00:00 – Sonntag, 03. Dezember, 23:59","Multschür, Gossau SG (CH)"
"1699914567-6","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Wenige Tickets
							
					
		

						
				Dez
				1
			
			
			
				Glühweinwanderung Luzern Fr. 01.12.2023
									Freitag, 01. Dezember, 00:00
								Alte Hofschule, Luzern (CH)","https://eventfrog.ch/de/p/essen-trinken/gluehweinwanderung-luzern-fr-01-12-2023-7116810717445997409.html","Glühweinwanderung Luzern Fr. 01.12.2023","","Freitag, 01. Dezember, 00:00","Alte Hofschule, Luzern (CH)"
"1699914567-7","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Dez - Dez
					1 - 23
				
			
			
				Franziska Lauber
									23 Events
								Bibliothek Bümpliz, Bern (CH)","https://eventfrog.ch/de/p/gruppen/franziska-lauber-7119991116636585098.html","Franziska Lauber","Eventgruppe","23 Events","Bibliothek Bümpliz, Bern (CH)"
"1699914567-8","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Jul
				11
			
			
			
				Grüne Fürsten - Die Gärten Kaiser Napoleons III.
									241 Events
								Schloss Seeburg Kreuzlingen, Kreuzlingen (CH)","https://eventfrog.ch/de/p/gruppen/gruene-fuersten-die-gaerten-kaiser-napoleons-iii-7062986336706117491.html","Grüne Fürsten - Die Gärten Kaiser Napoleons III.","Eventgruppe","241 Events","Schloss Seeburg Kreuzlingen, Kreuzlingen (CH)"
"1699914567-9","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				30
			
			
			
				C'était bien mieux après
									777 Events
								Parc de la Torma, Monthey (CH)","https://eventfrog.ch/de/p/gruppen/c-etait-bien-mieux-apres-7119969570916383621.html","C'était bien mieux après","Eventgruppe","777 Events","Parc de la Torma, Monthey (CH)"
"1699914567-10","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				31
			
			
			
				MoMö – Schweizer Mosterei- und Brennereimuseum
									48 Events
								MoMö - Schweizer Mosterei- und Brennereimuseum, Arbon (CH)","https://eventfrog.ch/de/p/gruppen/momoe-schweizer-mosterei-und-brennereimuseum-6861511415040525434.html","MoMö – Schweizer Mosterei- und Brennereimuseum","Eventgruppe","48 Events","MoMö - Schweizer Mosterei- und Brennereimuseum, Arbon (CH)"
"1699914567-11","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				31
			
			
			
				Museum am Hafen
									48 Events
								Museum am Hafen, Romanshorn (CH)","https://eventfrog.ch/de/p/gruppen/museum-am-hafen-6861511409550181439.html","Museum am Hafen","Eventgruppe","48 Events","Museum am Hafen, Romanshorn (CH)"
"1699914567-12","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				31
			
			
			
				Seemuseum Kreuzlingen
									48 Events
								Seemuseum, Kreuzlingen (CH)","https://eventfrog.ch/de/p/gruppen/seemuseum-kreuzlingen-6861511019169553578.html","Seemuseum Kreuzlingen","Eventgruppe","48 Events","Seemuseum, Kreuzlingen (CH)"
"1699914567-13","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				31
			
			
			
				Saurer Museum
									48 Events
								Saurer Museum, Arbon (CH)","https://eventfrog.ch/de/p/gruppen/saurer-museum-6861511011930184812.html","Saurer Museum","Eventgruppe","48 Events","Saurer Museum, Arbon (CH)"
"1699914567-14","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				31
			
			
			
				Rundgang durch die Zeiten
									48 Events
								Museum für Archäologie Thurgau, Frauenfeld (CH)","https://eventfrog.ch/de/p/gruppen/rundgang-durch-die-zeiten-6861508554391004714.html","Rundgang durch die Zeiten","Eventgruppe","48 Events","Museum für Archäologie Thurgau, Frauenfeld (CH)"
"1699914567-15","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				31
			
			
			
				Arenenberger Gartenwelt
									48 Events
								Napoleonmuseum Arenenberg, Salenstein (CH)","https://eventfrog.ch/de/p/gruppen/arenenberger-gartenwelt-6861510112897911398.html","Arenenberger Gartenwelt","Eventgruppe","48 Events","Napoleonmuseum Arenenberg, Salenstein (CH)"
"1699914567-16","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Apr
				30
			
			
			
				Remember, you are but tiny bits of existence
									168 Events
								Tableau Zurich, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/remember-you-are-but-tiny-bits-of-existence-7112816682444219131.html","Remember, you are but tiny bits of existence","Eventgruppe","168 Events","Tableau Zurich, Zürich (CH)"
"1699914567-17","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Wochenmarkt
									14 Events
								Steibi- und Metzggass, Winterthur (CH)","https://eventfrog.ch/de/p/gruppen/wochenmarkt-7119962627963349567.html","Wochenmarkt","Eventgruppe","14 Events","Steibi- und Metzggass, Winterthur (CH)"
"1699914567-18","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Zürcher Wochenmarkt
									14 Events
								Bürkliplatz, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/zuercher-wochenmarkt-7119960594925458752.html","Zürcher Wochenmarkt","Eventgruppe","14 Events","Bürkliplatz, Zürich (CH)"
"1699914567-19","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Zürcher Wochenmarkt
									14 Events
								Helvetiaplatz, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/zuercher-wochenmarkt-7119959379802027590.html","Zürcher Wochenmarkt","Eventgruppe","14 Events","Helvetiaplatz, Zürich (CH)"
"1699914567-20","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Zürcher Wochenmarkt
									14 Events
								Milchbuckstrasse, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/zuercher-wochenmarkt-7119959357236661009.html","Zürcher Wochenmarkt","Eventgruppe","14 Events","Milchbuckstrasse, Zürich (CH)"
"1699914567-21","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Jan
				2
			
			
			
				Unseen Sights
									50 Events
								Universitätsklinik Balgrist, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/unseen-sights-7114911326506293238.html","Unseen Sights","Eventgruppe","50 Events","Universitätsklinik Balgrist, Zürich (CH)"
"1699914567-22","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				13
			
			
			
				What We Know
									26 Events
								Kulturhaus Helferei | Foyer, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/what-we-know-7128716691177992422.html","What We Know","Eventgruppe","26 Events","Kulturhaus Helferei | Foyer, Zürich (CH)"
"1699914567-23","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Jan
				31
			
			
			
				Deal with it - Afrikanisches Erbe in Basel
									68 Events
								Universitätsbibliothek Basel, Basel (CH)","https://eventfrog.ch/de/p/gruppen/deal-with-it-afrikanisches-erbe-in-basel-7128709038775169527.html","Deal with it - Afrikanisches Erbe in Basel","Eventgruppe","68 Events","Universitätsbibliothek Basel, Basel (CH)"
"1699914567-24","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Mär
				3
			
			
			
				Alles, was Sie brauchen!
									111 Events
								Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/alles-was-sie-brauchen-7127343164243831192.html","Alles, was Sie brauchen!","Eventgruppe","111 Events","Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)"
"1699914567-25","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Wenige Tickets
							
							
					Eventgruppe
				
					
		

						
				bis Dez
				30
			
			
			
				Fondue- und Raclette-Rucksack
									34 Events
								RegioKäse GmbH, Gelterkinden (CH)","https://eventfrog.ch/de/p/gruppen/fondue-und-raclette-rucksack-7089202470958659715.html","Fondue- und Raclette-Rucksack","Eventgruppe","34 Events","RegioKäse GmbH, Gelterkinden (CH)"
"1699914567-26","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Nov - Dez
					30 - 20
				
			
			
				Mit Huhn - Tableau Vivant et Nature Morte
									20 Events
								Markthalle Basel, Basel (CH)","https://eventfrog.ch/de/p/gruppen/mit-huhn-tableau-vivant-et-nature-morte-7121092430959430374.html","Mit Huhn - Tableau Vivant et Nature Morte","Eventgruppe","20 Events","Markthalle Basel, Basel (CH)"
"1699914567-27","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				22
			
			
			
				Seelinien
									58 Events
								BIZ, Pfäffikon (CH)","https://eventfrog.ch/de/p/gruppen/seelinien-7100795085583762884.html","Seelinien","Eventgruppe","58 Events","BIZ, Pfäffikon (CH)"
"1699914567-28","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				1
			
			
			
				Constitutio
									16 Events
								Karl der Grosse | Foyer, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/constitutio-7119979969837503811.html","Constitutio","Eventgruppe","16 Events","Karl der Grosse | Foyer, Zürich (CH)"
"1699914567-29","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				15
			
			
			
				Herbstausstellung
									24 Events
								Galerie Textilaltro, Rapperswil (CH)","https://eventfrog.ch/de/p/gruppen/herbstausstellung-7120000546329526790.html","Herbstausstellung","Eventgruppe","24 Events","Galerie Textilaltro, Rapperswil (CH)"
"1699914567-30","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				1
			
			
			
				Buchser Freitagsmarkt
									3 Events
								Alvierparkplatz, Buchs (CH)","https://eventfrog.ch/de/p/gruppen/buchser-freitagsmarkt-7119963000149098308.html","Buchser Freitagsmarkt","Eventgruppe","3 Events","Alvierparkplatz, Buchs (CH)"
