web-scraper-order,web-scraper-start-url,link,link-href,name,is_eventgruppe,datetime,date,description,price,address,category,time
"1701175609-1","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Mara Live
									Sonntag, 31. Dezember, 23:00
								Grabenhalle, Sankt Gallen (CH)","https://eventfrog.ch/de/p/konzert/mara-live-7132500633655944002.html","Mara Live","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023","Als DJ, Autorin, Komponistin und Interpretin mit Schweizer Wurzeln fügt Mara HipHop-Motive mit Dancehall-Sounds zusammen, die sie mit gewagten, verspielten und vor allem betont femininen und feministischen Texten bestreut. &nbsp; Mara baut ihre Bekanntheit zunächst als DJ auf Bühnen in der ganzen Welt auf und dann bei MOUV' (Radio France), wo sie ab 2018 wöchentlich eine Stunde lang einen Mix moderiert. 2019 feiert Mara mit ihrem ersten Titel ""Foufoune"" erste Erfolge als Interpretin, danach folgen ""Bon Son"" und ""Point Cue"", die ihren Bekanntheitsgrad festigen. Mara ist die Galionsfigur einer Welt, die die Weiblichkeit als dominierenden Wert gewählt hat, und besticht durch ihre Freiheit und ihren schelmischen Sinn für Provokation. Mara, die geborene Nonkonformistin, hat sich einen einzigartigen Platz in einer Welt geschaffen, in der die ultra-glamouröse Superheldin ihre Stärken und Schwächen bekennen kann, ohne den nächsten Tag fürchten zu müssen. Als Verfechterin der Klischees des Geschlechterkriegs trägt Mara die Gleichheit aller in den Himmel und fordert uns auf, uns in unserer Unterschiedlichkeit unsere Worte, unsere Körper und unsere Wünsche wieder anzueignen. In ihren Videos und sozialen Netzwerken entwickelt sie ihr lexikalisches und visuelles Feld, in dem die Jungfrau...
								
									 mehr anzeigen
								
							
							
																	Als DJ, Autorin, Komponistin und Interpretin mit Schweizer Wurzeln fügt Mara HipHop-Motive mit Dancehall-Sounds zusammen, die sie mit gewagten, verspielten und vor allem betont femininen und feministischen Texten bestreut. &nbsp; Mara baut ihre Bekanntheit zunächst als DJ auf Bühnen in der ganzen Welt auf und dann bei MOUV' (Radio France), wo sie ab 2018 wöchentlich eine Stunde lang einen Mix moderiert. 2019 feiert Mara mit ihrem ersten Titel ""Foufoune"" erste Erfolge als Interpretin, danach folgen ""Bon Son"" und ""Point Cue"", die ihren Bekanntheitsgrad festigen. Mara ist die Galionsfigur einer Welt, die die Weiblichkeit als dominierenden Wert gewählt hat, und besticht durch ihre Freiheit und ihren schelmischen Sinn für Provokation. Mara, die geborene Nonkonformistin, hat sich einen einzigartigen Platz in einer Welt geschaffen, in der die ultra-glamouröse Superheldin ihre Stärken und Schwächen bekennen kann, ohne den nächsten Tag fürchten zu müssen. Als Verfechterin der Klischees des Geschlechterkriegs trägt Mara die Gleichheit aller in den Himmel und fordert uns auf, uns in unserer Unterschiedlichkeit unsere Worte, unsere Körper und unsere Wünsche wieder anzueignen. In ihren Videos und sozialen Netzwerken entwickelt sie ihr lexikalisches und visuelles Feld, in dem die Jungfrau Maria, die zur Jungfrau Mara wurde, das Bling Bling, die erobernde Hypererotik und dieser unstillbare Wunsch nach Freiheit zusammenleben. [gallery columns=""4"" ids=""eyJ1cmwiOiJodHRwczpcL1wvd3d3LmdyYWJlbmhhbGxlLmNoXC93cC1jb250ZW50XC91cGxvYWRzXC8yMDIzXC8xMVwvMjAyM18xMl8zMV9NYXJhLmpwZyIsInRpdGxlIjoiMjAyM18xMl8zMV9NYXJhIiwiY2FwdGlvbiI6IiIsImFsdCI6IiIsImRlc2NyaXB0aW9uIjoiIn0=""] &nbsp;
									
										 weniger anzeigen","","Grabenhalle, Unterer Graben, Sankt Gallen, CH","Konzert","23:00 Uhr"
"1701175615-2","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				The Roosters
									Sonntag, 31. Dezember, 22:30
								Löwen, Sommeri (CH)","https://eventfrog.ch/de/p/konzert/the-roosters-7132520466019738553.html","The Roosters","","Sonntag, 31. Dezember, 22:30","So., 31. Dezember 2023","Ob Rock, Rhythm&Blues, Funk, Soul, Reggae oder Latin – die 5-köpfige Powerformation mit der stimmgewaltigen und herrlich erfrischenden Frontfrau Sybille Bäder zelebriert die musikalischen Highlights der 70er bis 80er Jahre absolut authentisch und trifft mit ihrer spannenden Mischung der Klassiker den Geschmack gleich mehrerer Generationen.

<br>

<br>Besetzung:

<br>Sybille Bäder – voc; Götz Zöller – g, voc; Alex Wittmann – dr, voc; Gerhard Stoiber – b; Klaus Timons – kb, voc

<br>

<br>https://www.roosters-online.de//&nbsp;","","Löwen, Hauptstrasse 23, Sommeri, CH","Konzert","22:30 Uhr"
"1701175617-3","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Orgelkonzert zu Sylvester
									Sonntag, 31. Dezember, 22:00
								Stadtkirche St. Martin, Rheinfelden (CH)","https://eventfrog.ch/de/p/konzert/weitere-musikrichtungen/orgelkonzert-zu-sylvester-6979809084242311309.html","Orgelkonzert zu Sylvester","","Sonntag, 31. Dezember, 22:00","So., 31. Dezember 2023","Anschliessend an das traditionelle Brunnensingen der Sebastiani sind Sie herzlich zu einem Orgelkonzert in der christkath. Stadtkirche St. Martin eingeladen.","","Stadtkirche St. Martin, Kirchplatz 3, Rheinfelden, CH","Konzert / Weitere Musikrichtungen","22:00 Uhr
									
																			- 
										22:45 Uhr"
"1701175619-4","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Organ Fireworks
									Sonntag, 31. Dezember, 22:00
								Kathedrale, St. Gallen (CH)","https://eventfrog.ch/de/p/konzert/organ-fireworks-7131779172729322194.html","Organ Fireworks","","Sonntag, 31. Dezember, 22:00","So., 31. Dezember 2023","<p>mit Domorganist Willibald Guggenmos</p> 

<p>Camille Saint-Saëns 1835-1921 Improvisation a-moll op.150/7<br>Adagio aus der Orgelsymphonie op.78<br>Franz Liszt 1811-1886 Deuxième Légende<br>""Der Hl. Franz von Paula auf den Wogen schreitend""<br>Max Reger 1873-1916 Weihnachten op.145/3<br>Joseph Bonnet 1884-1944 Deuxième Légende<br>César Franck 1822-1890 Choral III<br>Charles-Marie Widor 1844-1937 Andante sostenuto op.70/2<br>Henri Mulet 1878-1967 Toccata ""Tu es Petra""</p> 

<p>&nbsp;</p> 

<p>Eintritt frei, Kollekte</p>","","Kathedrale, Klosterhof 4, St. Gallen, CH","Konzert","22:00 Uhr"
"1701175625-5","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Silvesterkonzert: Odeon Chôro Quintett
									Sonntag, 31. Dezember, 21:30
								Schloss Wartegg, Rorschacherberg (CH)","https://eventfrog.ch/de/p/konzert/silvesterkonzert-odeon-choro-quintett-7131788726112298463.html","Silvesterkonzert: Odeon Chôro Quintett","","Sonntag, 31. Dezember, 21:30","So., 31. Dezember 2023","<p>Der Chôro ist ein instrumentaler brasilianischer Musikstil, der wahrscheinlich in den 1870er Jahren – auf für Brasilien typische Weise – in Rio de Janeiro als Fusion von populärer europäischer Musik (Polka, Walzer) und der Musik afrikanischer Sklaven entstand. (ca. nach Wikipedia)<br><br>Jürg Kindle, Gründer des ""Odeon Chôro Quintett"", hat sich während 15 Jahren intensiv mit dieser Musik befasst und ist bei der Quellenforschung auf eine musikalische Goldgrube gestossen. ""Odeon"" möchte diese verlorenen Raritäten einem breiteren Publikum wieder zugänglich machen. Schwindelerregend virtuose Melodien wie auch melancholische Themen paaren sich mit vorwärtstreibenden synkopierten Rhythmen und verströmen das von Sehnsucht, Nostalgie und Wehmut geprägte Lebensgefühl der portugiesischen Auswanderer sowie auch der afrikanischen Sklaven welches in dem Wort ""Saudades"" seinen Ausdruck findet. &nbsp;Ein garantiertes Musikerlebnis mit Seltenheitswert.</p> 

<p>Musiker:</p> 

<p>Romulo Melo, Perkussion<br>Richard Kronig, Gitarre, Cavaquinho<br>Jürg Kindle, Bandolim, Gitarre<br>Ralph Hufenus, Bass<br>Charly Baur, Klarinette, Akkordeon.</p>","","Schloss Wartegg, Von Blarer Weg 1, Rorschacherberg, CH","Konzert","21:30 Uhr"
"1701175627-6","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Tickets
							
					
		

						
				Dez
				31
			
			
			
				Tribute Nights - 21st Century Abba (UK)
									Sonntag, 31. Dezember, 21:00
								Atlantis, Basel (CH)","https://eventfrog.ch/de/p/konzert/pop-rock/tribute-nights-21st-century-abba-uk-7079063716252005719.html","Tribute Nights - 21st Century Abba (UK)","","Sonntag, 31. Dezember, 21:00","So., 31. Dezember 2023","Rock, Pop | Konzert 
Abba ist zurück, live auf der Bühne in Form von 21st Century Abba, der preisgekrönten Abba-Tribute-Band, die alle besten Songs der Superschweden spielt! 
Erinnern Sie sich an die Zeit der Pailletten, Schlaghosen und Plateaustiefel? Erinnern Sie sich an die Songs, die Sie kennen und lieben: Waterloo, Mamma Mia, Take a Chance on Me, Super Trouper und viele, viele mehr? 
Möchten Sie sich in eine Zeit zurückversetzen lassen, in der der Äther mit Agnethas und Fridas berüchtigten Harmonien gefüllt war und die Tanzfläche voller Menschen war, die sich zur unvergesslichen Musik von Benny und Björn bewegten? 21st Century Abba stellt die größten Hits der Superschweden originalgetreu wieder her und nutzt dabei die neuesten Technologien in Kombination mit Live-Musikern, die Sie von den Socken hauen werden! Sie tragen die Kostüme, die Sie kennen und lieben, und versetzen Sie zurück in das Jahrzehnt, in dem Abba die Welt beherrschten und das Publikum dazu brachten, noch mehr zu jubeln und als Dancing Queens zu gehen! 
21st Century Abba's Agnetha und Bjorn gewannen den begehrten UK's Number No. 1 Abba Tribute Act von der Agent's Association of Great Britain mehrere Jahre in Folge, von 2016 bis 2018 und gründeten 21st Century Abba im Jahr 2019, um das zu verbessern, was sie ...
								
									 mehr anzeigen
								
							
							
																	Rock, Pop | Konzert 
Abba ist zurück, live auf der Bühne in Form von 21st Century Abba, der preisgekrönten Abba-Tribute-Band, die alle besten Songs der Superschweden spielt! 
Erinnern Sie sich an die Zeit der Pailletten, Schlaghosen und Plateaustiefel? Erinnern Sie sich an die Songs, die Sie kennen und lieben: Waterloo, Mamma Mia, Take a Chance on Me, Super Trouper und viele, viele mehr? 
Möchten Sie sich in eine Zeit zurückversetzen lassen, in der der Äther mit Agnethas und Fridas berüchtigten Harmonien gefüllt war und die Tanzfläche voller Menschen war, die sich zur unvergesslichen Musik von Benny und Björn bewegten? 21st Century Abba stellt die größten Hits der Superschweden originalgetreu wieder her und nutzt dabei die neuesten Technologien in Kombination mit Live-Musikern, die Sie von den Socken hauen werden! Sie tragen die Kostüme, die Sie kennen und lieben, und versetzen Sie zurück in das Jahrzehnt, in dem Abba die Welt beherrschten und das Publikum dazu brachten, noch mehr zu jubeln und als Dancing Queens zu gehen! 
21st Century Abba's Agnetha und Bjorn gewannen den begehrten UK's Number No. 1 Abba Tribute Act von der Agent's Association of Great Britain mehrere Jahre in Folge, von 2016 bis 2018 und gründeten 21st Century Abba im Jahr 2019, um das zu verbessern, was sie schon vorher wussten. 
21st Century Abba spielen und singen LIVE; ihre Performance hat eine echte Energie (man denke an Abba live in Wembley!). Eine Live-Band zu haben, bedeutet, dass man dem Set besondere Akzente hinzufügen kann (Publikumsbeteiligung, Live-Ende von Songs, instrumentale Breakdowns). Das ist es, was 21st Century Abba als ihren Wettbewerbsvorteil gegenüber anderen Tribute-Acts sieht. 
Die Band hat auf der ganzen Welt gespielt, von Rumänien über die Malediven bis nach Jordanien, in der Schweiz und natürlich im Vereinigten Königreich, in Theatern und auf Festivals, in Palästen und Schlössern. Ihr Ziel ist es, Abba in das 21. Jahrhundert zu bringen. Sie haben die hochwertigsten Kostüme; es gibt mehrere Kostümwechsel in jeder Show; von den Waterloo Outfits, zu den Cats, Kimonos, Australia infamous Gold Kostümen, Wembley Tour Outfits und mehr! 
Die Mitglieder von 21st Century Abba sind professionell ausgebildete Tournee-Musiker und traten in ihrem Leben vor Abba mit Bands wie: Bewitched, Pink, Bay City Rollers, Jamie Oliver (ja, der Koch!), Thunder, The Quireboys, Status Quo, Limp Biscuit und haben Songs veröffentlicht, die von Heart FM, Friends, Comedy Central, Radio 2, Coronation Street und in der ganzen Welt in Werbespots und Fernsehsendungen verwendet wurden. 
Unsere Agnetha wurde kürzlich von den BBC-Frühstücksnachrichten interviewt, an dem Morgen, an dem Abba ihr erstes Live-Material seit über vierzig Jahren veröffentlichten. Wir sind stolz darauf, von der BBC ausgewählt worden zu sein, um die Abba-Gemeinschaft im Namen des Vereinigten Königreichs zu vertreten. 
  
  
Gerne verwöhnen wir Sie im legendären Atlantis – das subtil edle, stilvoll gemütliche und zum Knistern geborene Kult(ur)lokal.
 Unser Restaurant ist ab 18.00 Uhr geöffnet und warme Küche gibt es bis um 21.00 Uhr. Bitte beachten Sie dass eine Tischreservation auf der Galerie nur mit Dinnerkonsumation und einem Konzertticket möglich ist. Wenn Sie den ganzen Tisch reservieren gehört er während des gesamten Abends Ihnen. 

 Ihren Tisch zum Abendessen können Sie hier online reservieren.
									
										 weniger anzeigen","CHF 45.00","Atlantis, Klosterberg 13, Basel, CH","Konzert / Pop & Rock","21:00 Uhr
									
																			- 
										23:00 Uhr"
"1701175629-7","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				ZWÖIERLEI neue Berner Chansons
									Sonntag, 31. Dezember, 20:00
								Theater alte Oele, Thun (CH)","https://eventfrog.ch/de/p/konzert/folk/zwoeierlei-neue-berner-chansons-7111249314676986247.html","ZWÖIERLEI neue Berner Chansons","","Sonntag, 31. Dezember, 20:00","So., 31. Dezember 2023","Türöffnung: 19.30 Uhr / Beginn: 20.00 Uhr 
Ädu Baumgartner und Rolf Marti schreiben und singen Chansons im Stil der Berner Troubadours: hintersinnige Geschichten, feinlistige Pointen, bitterzarte Poesien, gereimte Ungereimtheiten.  
Das Spektrum ihrer Themen reicht von der Politik über die Liebe sowie die Gefahren und Freuden des Lebens bis hin zum Tod. Trotz des Ernsts vieler Themen bleibt häufig kein Auge trocken. Ein Leckerbissen für alle Liebhaberinnen und Liebhaber des traditionellen Berner Chansons. 
Weitere Infos: www.zwöierlei.ch","","Theater alte Oele, Freienhofgasse 10a, Thun, CH","Konzert / Folk","20:00 Uhr"
"1701175631-8","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Hinterwäldler - Gold-Ruusch
									Sonntag, 31. Dezember, 20:00
								Theater im Burgbachkeller, Zug (CH)","https://eventfrog.ch/de/p/konzert/pop-rock/hinterwaeldler-gold-ruusch-7130144064372962073.html","Hinterwäldler - Gold-Ruusch","","Sonntag, 31. Dezember, 20:00","So., 31. Dezember 2023","Pur, echt und inbrünstig beackern die Hinterwäldler die Wurzeln des amerikanischen Folk - und zwar auf Mundart. Dabei bedienen sie allergattig Saitenwerkzeug, welches sie sich gegenseitig in die Hände drücken. In «Gold-Ruusch» erzählen und singen sie von der Sehnsucht nach dem Eldorado, dem Mut, einfach abzuhauen, aufs Schiff zu gehen, um vielleicht auf der anderen Seite des grossen Teiches das Glück zu finden. Ein freches und bewegendes Programm über das Auswandern, Erfolg und Versagen, Liebe, Schnaps und Gold.","","Theater im Burgbachkeller, St.-Oswalds-Gasse 3, Zug, CH","Konzert / Pop & Rock","20:00 Uhr"
"1701175633-9","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Concert de Nouvel An
									Sonntag, 31. Dezember, 19:30
								Grand Théâtre de Genève, Genf (CH)","https://eventfrog.ch/de/p/konzert/pop-rock/concert-de-nouvel-an-7135011687422207487.html","Concert de Nouvel An","","Sonntag, 31. Dezember, 19:30","So., 31. Dezember 2023","Simon Keenlyside parvient à adapter sa voix sans aucun complexe, et il en ressort un fabuleux sens de la ligne lyrique, un magnifique timbre crémeux, une caractérisation aiguë et une superbe diction, toutes les chansons étant interprétées avec un style et un flair auxquels il est impossible de résister.","","Grand Théâtre de Genève, Boulevard du Théatre 11, Genf, CH","Konzert / Pop & Rock","19:30 Uhr"
"1701175635-10","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=908","Dez
				31
			
			
			
				Silvester-Party
									Sonntag, 31. Dezember, 19:00
								Café Bar Treppenhaus, Rorschach (CH)","https://eventfrog.ch/de/p/konzert/silvester-party-7120166230502130546.html","Silvester-Party","","Sonntag, 31. Dezember, 19:00","So., 31. Dezember 2023","Zu den letzten Stunden im 2023 wollen wir nochmals ganz dick auftragen und verwandeln das Treppi wieder mal in einen 2.Stöckigen Fiesta-Tempel. Essen ab 19.00 Uhr: Aperitif, Raclette à discretion, Zgraggen sélection digestif Ticket: 45 CHF Party ab 23.00 Uhr: Konzertsaal & Hells Kitchen Freier Eintritt","","Café Bar Treppenhaus, Kirchstrasse 3, Rorschach, CH","Konzert","19:00 Uhr"
