web-scraper-order,web-scraper-start-url,link,link-href,name,is_eventgruppe,datetime,date,description,price,address,category,time
"1699956832-1","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Tickets
							
					
		

						
				Dez
				31
			
			
			
				REFORMIST NEW YEARS EVE EDITION
									Sonntag, 31. Dezember, 23:00
								Sedel Club, Luzern (CH)","https://eventfrog.ch/de/p/party/silvesterparty/reformist-new-years-eve-edition-7118628862750049450.html","REFORMIST NEW YEARS EVE EDITION","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023 -
											Mo., 1. Januar 2024","ITS TIME! 

 We're back from the dead and are more than thrilled to announce our next Event.  
This time things will even be bigger and better! 
 We are utterly grateful we got asked to organise such a huge event so we'll make it our duty to provide you a proper endig of the year, and an intense kickoff n to the next chapter. 
This time we're able to widen our borders and offer you 
 three Floors with completely diffrent atmospheres and musical diversity.
 You can expect anything from thriving grooves to te raw energy of harsh and distorted kicks.  
 We've got something for every taste. 
 To ensure you a night full of musical and visual pleasure we've brought together an amazing collection of some of the most dedicated and talented artists we could think of. As true masters of their craft they will take you on a journey and lead you to a place of pure ecstasy.
 Gather with us as the clock strikes midnight and we welcome the dawn of a brand-new year. 
More info about the event will follow soon on our instagram. Stay tuned!
 Cheers Reformist! 
INDUSTRIAL TECHNO/ INDUUSTRIAL HARDCORE/ HARD GROOVE 
  
  
INSTAGRAM https://www.instagram.com/reformist._/ 
  
* 3 FLOORS
 * 12 ARTISTS 
                  ...
								
									 mehr anzeigen
								
							
							
																	ITS TIME! 

 We're back from the dead and are more than thrilled to announce our next Event.  
This time things will even be bigger and better! 
 We are utterly grateful we got asked to organise such a huge event so we'll make it our duty to provide you a proper endig of the year, and an intense kickoff n to the next chapter. 
This time we're able to widen our borders and offer you 
 three Floors with completely diffrent atmospheres and musical diversity.
 You can expect anything from thriving grooves to te raw energy of harsh and distorted kicks.  
 We've got something for every taste. 
 To ensure you a night full of musical and visual pleasure we've brought together an amazing collection of some of the most dedicated and talented artists we could think of. As true masters of their craft they will take you on a journey and lead you to a place of pure ecstasy.
 Gather with us as the clock strikes midnight and we welcome the dawn of a brand-new year. 
More info about the event will follow soon on our instagram. Stay tuned!
 Cheers Reformist! 
INDUSTRIAL TECHNO/ INDUUSTRIAL HARDCORE/ HARD GROOVE 
  
  
INSTAGRAM https://www.instagram.com/reformist._/ 
  
* 3 FLOORS
 * 12 ARTISTS 
                     
 LINE UP
 XxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxX
 COLOMBO -- DJIPE -- EXGÜSI --
 MALDOROR-- MARISA JOYCE --
 MATT GREEN -- NX46 -- R-N-O -- RORGANIC -- SUSPIRIO--
 TOTTENTANZ+MORGOTH 
  
NDUSTRIAL TECHNO/ INDUUSTRIAL HARDCORE/ HARD GROOVE
									
										 weniger anzeigen","CHF 25.00","Sedel Club, Emmenbrücke, Sedelhof 2, Luzern, CH","Party / Silvesterparty","Beginn:
								
									23:00 Uhr"
"1699956835-2","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Tickets
							
					
		

						
				Dez
				31
			
			
			
				new years eve 80's, 90's, 00's, 2024
									Sonntag, 31. Dezember, 23:00
								singer klub, Basel (CH)","https://eventfrog.ch/de/p/party/silvesterparty/new-years-eve-80-s-90-s-00-s-2024-7120012767843542996.html","new years eve 80's, 90's, 00's, 2024","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023","lassen wir das jahr 2023 hinter uns.... dazu holen wir aber die besten klassiker aus den 80er, 90er und 2000er zurück.
 in das neue jahr feiern mit dem hüftschwung von michael jackson, wippen mit dem kopf bei 50 cent und uns in die arme fallen bei robbie williams.
 djk wird uns durch diese 3 dekaden führen und fühlen lassen an diesem abend.
 das neue jahr kann kommen. 
INFO 
der einlass ist ab 23 Jahren für Frauen und 25 Jahren für Männer und nur mit einem gültigen ausweisdokument (id, pass, ausländerausweis oder führerschein) als original und nicht als foto auf dem handy. 
MUSIK 
ab 23 uhr by djk 
TICKETS 
die tickets im vorverkauf kosten 15 franken. ein kontingent an tickets ist nach verfügbarkeit für 20 franken an der abendkasse erhältlich. 
LOUNGES 
auch bei diesem event sind diverse lounges in unterschiedlichen grössen verfügbar. auf unserer webseite (www.singerklub.ch) findest du den loungeplan. tickets für die lounges können hier bei eventfrog erworben werden.","CHF 15.00","singer klub, Marktplatz 34, Basel, CH","Party / Silvesterparty","23:00 Uhr"
"1699956837-3","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Tickets
							
					
		

						
				Dez
				31
			
			
			
				Urban New Year
									Sonntag, 31. Dezember, 23:00
								ROK Klub, Luzern (CH)","https://eventfrog.ch/de/p/party/silvesterparty/urban-new-year-7122575854677208463.html","Urban New Year","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023 -
											Mo., 1. Januar 2024","PLEASURE - TO BINA 
DJ's: Mehr infos bald...  
In der letzten Nacht des Jahres gilt es die schönen Momente Revue passieren zu lassen und neue Abenteuer mit einem Lächeln zu begrüßen. Wir lassens so richtig krachen und statt mit Böllern wird bei uns mit einem richtigen Knallerprogramm geballert! Neben Künstler die uns in den letzten Monaten eng begleiteten, haben wir wieder einiges an Überraschungen vorbereitet, um mit euch ins neue Jahr zu schreiten.","CHF 15.00","ROK Klub, Seidenhofstrasse 5, Luzern, CH","Party / Silvesterparty","Beginn:
								
									23:00 Uhr"
"1699956840-4","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Tickets
							
					
		

						
				Dez
				31
			
			
			
				GLOW UP! Silvesterparty
									Sonntag, 31. Dezember, 23:00
								Balz, Basel (CH)","https://eventfrog.ch/de/p/party/charts-open-format/glow-up-silvesterparty-7123316261526660581.html","GLOW UP! Silvesterparty","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023","GLOW UP! - die Silvesterparty in der Balz! 
 
 Macht euch gefasst auf leuchtende Überraschungen, und tanzt mit uns in ein neues Jahr! Im Klub sorgt der Hitmixer DJ CURL für die besten Songs und einen brennenden Dancefloor, während im Hinterzimmer Milo, Marcel Kaiser und Olvero Sinatra den Takt im elektronischen Universum angeben. 
Lounge Angebot: 
Linke-Lounge bis 10 Personen inklusive 
 
 1x Grey Goose 1.75l, 1x Möet & Chandon Ice Imperial auf Anfrage via Mail an: kontakt@balzklub.ch 
 
Rechte-Lounge bis 8 Personen inklusive 
 
 1x Grey Goose 1.75l, 1x Möet & Chandon Ice Imperial auf Anfrage via Mail an: kontakt@balzklub.ch","CHF 10.00","Balz, Steinenbachgässlein 34, Basel, CH","Party / Charts & Open Format","23:00 Uhr
									
																			- 
										05:00 Uhr"
"1699956842-5","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Dez
				31
			
			
			
				Hitparaden Party -  Silvester Edition
									Sonntag, 31. Dezember, 23:00
								Kammgarn, Schaffhausen (CH)","https://eventfrog.ch/de/p/party/pop-rock/hitparaden-party-silvester-edition-7127972155573138228.html","Hitparaden Party -  Silvester Edition","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023","","","Kammgarn, Baumgartenstrasse 19, Schaffhausen, CH","Party / Pop & Rock","23:00 Uhr"
"1699956845-6","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Dez
				31
			
			
			
				NYE
									Sonntag, 31. Dezember, 23:00
								Nordstern, Basel (CH)","https://eventfrog.ch/de/p/party/electro/nye-7128309862312676158.html","NYE","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023","DJs Comzy, Doma, Gianni Callipari u. a.","","Nordstern, Westquaistrasse 19, Basel, CH","Party / Electro","23:00 Uhr"
"1699956847-7","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Dez
				31
			
			
			
				New Year's Eve
									Sonntag, 31. Dezember, 23:00
								Le Ciel, Bern (CH)","https://eventfrog.ch/de/p/party/new-year-s-eve-7129836768128367710.html","New Year's Eve","","Sonntag, 31. Dezember, 23:00","So., 31. Dezember 2023","","","Le Ciel, Bollwerk 31, Bern, CH","Party","23:00 Uhr"
"1699956850-8","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Tickets
							
					
		

						
				Dez
				31
			
			
			
				Silvester Party 2024
									Sonntag, 31. Dezember, 22:00
								Gaswerk Eventbar GmbH, Seewen (CH)","https://eventfrog.ch/de/p/party/silvesterparty/silvester-party-2024-7079071444898867818.html","Silvester Party 2024","","Sonntag, 31. Dezember, 22:00","So., 31. Dezember 2023","Wir lassen es ordentlich krachen. Die Silvestersause im Gaswerk bringt jeden feucht und fröhlich ins neue Jahr. 
Auch heuer haben wir uns wieder einige Specials für euch ausgedacht. Es wartet ein geschlossenes Aussenareal mit einer Bar auf Euch und auf den Mitternachts-Countdown und den passenden Big Bang darf man sich ebenfalls freuen. Im Eintritt inbegriffen ist ein Happy-New-Year Cüpli für den besten Start ins 2024! Wir freuen uns, mit euch die Freinacht durchzufeiern und wünschen schon jetzt einen guten Rutsch! 
Mit DJ GRO 
DJ Gro kommt aus Zürich und behauptet sich seit bald 20 Jahren im Haifischbecken der Schweizer Clubszene. 
Über lange Zeit hat sich DJ Gro vor allem als Hip Hop DJ oder „Turntablist“ einen Namen gemacht.
 Vor einigen Jahren hat er sein musikalisches Feld ausgeweitet und bezeichnet sich heute klar als „Open Format DJ“. Mit seinen technischen Fertigkeiten verleiht er dem Event des Jahres pure Club-Atmosphäre 
Music: Open Format
 Age: 18+
 Oneway","CHF 20.00","Gaswerk Eventbar GmbH, Bahnhofstrasse 180b, Seewen, CH","Party / Silvesterparty","22:00 Uhr"
"1699956852-9","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Tickets
							
					
		

						
				Dez
				31
			
			
			
				Silvester""The Time is out of Joint"" W/ Ace Ventura, Ticon, H
									Sonntag, 31. Dezember, 22:00 – Montag, 01. Januar, 22:59
								Schlaflos Aarau, Aarau (CH)","https://eventfrog.ch/de/p/party/trance-ambient/silvester-the-time-is-out-of-joint-w-ace-ventura-ticon-h-7092930397470687574.html","Silvester""The Time is out of Joint"" W/ Ace Ventura, Ticon, H","","Sonntag, 31. Dezember, 22:00 – Montag, 01. Januar, 22:59","So., 31. Dezember 2023 -
											Mo., 1. Januar 2024","""The Time is out of Joint"" pflegte schon Shakespeare zu sagen! Ob er wohl eine gewisse Vorahnung hatte?  
★Ace Ventura (Iboga)
 ★Ticon (Iboga)
 ★Human element (Iboga)
 ★Beat Herren 
 ★Afternow
 ★Sebastian kos 
 ★Chronobreak
 ★Jiriki
 ★Omkara
 ★Tom
 ★Projekt x2.1
 ★Profiler
 ★Creator 
 ★Jesse Jay 
 ★Willi P
 ★Vera 
 ★Straight and Strange  
Und viel mehr ...","CHF 20.00","Schlaflos Aarau, Tellistrasse 118, Aarau, CH","Party / Trance & Ambient","Beginn:
								
									22:00 Uhr"
"1699956855-10","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=50&rubrics=914","Dez
				31
			
			
			
				Helga! Silvesterdisko 
									Sonntag, 31. Dezember, 22:00
								Kulturhof Schloss Köniz, Köniz (CH)","https://eventfrog.ch/de/p/party/helga-silvesterdisko-7107038757732189629.html","Helga! Silvesterdisko","","Sonntag, 31. Dezember, 22:00","So., 31. Dezember 2023","Flowerpower, Funk&Soul, 80er, NDW, Rock, Britpop, Balkan, Reggae, Latin, Grunge und Italo-Pop. Voilà. Das Kollektiv Helga macht vor keiner Musikrichtung halt. Ist aber immer mit Stil und Würde bei der Sache. Die DJs spielen ihre Lieblingslieder, das Bar- und Kassen-Team tanzt beschwingt mit. Die Musik ist querbeet von früher bis heute, von nah bis fern, von leicht bis laut. Stets euphorisch und fröhlich.","","Kulturhof Schloss Köniz, Muhlernstrasse 11, Köniz, CH","Party","22:00 Uhr"
