web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location,link,link-href
"1699913746-1","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Einjährige Jubiläumsausstellung","384 Events","Musée Visionnaire, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Nov
				30
			
			
			
				Einjährige Jubiläumsausstellung
									384 Events
								Musée Visionnaire, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/einjaehrige-jubilaeumsausstellung-7124792867919189088.html"
"1699913746-2","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","1","11. Porny Days","Freitag, 01. Dezember, 00:00","Stadt Zürich, Zürich (CH)","Dez
				1
			
			
			
				11. Porny Days
									Freitag, 01. Dezember, 00:00
								Stadt Zürich, Zürich (CH)","https://eventfrog.ch/de/p/festivals/11-porny-days-7123626072923436600.html"
"1699913746-3","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","30","Remember, you are but tiny bits of existence","168 Events","Tableau Zurich, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Apr
				30
			
			
			
				Remember, you are but tiny bits of existence
									168 Events
								Tableau Zurich, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/remember-you-are-but-tiny-bits-of-existence-7112816682444219131.html"
"1699913746-4","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Bürkliplatz, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Zürcher Wochenmarkt
									14 Events
								Bürkliplatz, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/zuercher-wochenmarkt-7119960594925458752.html"
"1699913746-5","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Helvetiaplatz, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Zürcher Wochenmarkt
									14 Events
								Helvetiaplatz, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/zuercher-wochenmarkt-7119959379802027590.html"
"1699913746-6","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29","Zürcher Wochenmarkt","14 Events","Milchbuckstrasse, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Dez
				29
			
			
			
				Zürcher Wochenmarkt
									14 Events
								Milchbuckstrasse, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/zuercher-wochenmarkt-7119959357236661009.html"
"1699913746-7","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","2","Unseen Sights","50 Events","Universitätsklinik Balgrist, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Jan
				2
			
			
			
				Unseen Sights
									50 Events
								Universitätsklinik Balgrist, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/unseen-sights-7114911326506293238.html"
"1699913746-8","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","13","What We Know","26 Events","Kulturhaus Helferei | Foyer, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Dez
				13
			
			
			
				What We Know
									26 Events
								Kulturhaus Helferei | Foyer, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/what-we-know-7128716691177992422.html"
"1699913746-9","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","3","Alles, was Sie brauchen!","111 Events","Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Mär
				3
			
			
			
				Alles, was Sie brauchen!
									111 Events
								Zentralbibliothek Zürich | Themenraum Turicensia, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/alles-was-sie-brauchen-7127343164243831192.html"
"1699913746-10","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","1","Constitutio","16 Events","Karl der Grosse | Foyer, Zürich (CH)","Eventgruppe
				
					
		

						
				bis Dez
				1
			
			
			
				Constitutio
									16 Events
								Karl der Grosse | Foyer, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/constitutio-7119979969837503811.html"
