bfs_nummer,gemeinde_name,absolute_anzahl,relative_anzahl
1,Aeugst am Albis,366,18.4
2,Affoltern am Albis,3487,27.7
3,Bonstetten,1230,21.9
4,Hausen am Albis,728,18.8
5,Hedingen,874,22.6
6,Kappel am Albis,264,20
7,Knonau,540,22.4
8,Maschwanden,122,18.9
9,Mettmenstetten,1279,22.7
10,Obfelden,1422,24.6
11,Ottenbach,589,20.6
12,Rifferswil,177,15.4
13,Stallikon,762,19.8
14,Wettswil am Albis,997,18.9
21,Adlikon,135,19.1
22,Benken (ZH),192,22.7
23,Berg am Irchel,117,19.8
24,Buch am Irchel,223,21.5
25,Dachsen,386,19.8
26,Dorf,169,23.7
27,Feuerthalen,950,25.2
28,Flaach,353,23.9
29,Flurlingen,325,21.5
30,Andelfingen,492,22.1
31,Henggart,470,20.8
32,Humlikon,79,16
33,Kleinandelfingen,438,20.5
34,Laufen-Uhwiesen,307,17.2
35,Marthalen,431,22.1
37,Ossingen,420,24.6
38,Rheinau,242,18.8
39,Thalheim an der Thur,189,19.3
40,Trüllikon,215,20.2
41,Truttikon,87,18.7
43,Volken,90,23.6
51,Bachenbülach,899,21.4
52,Bassersdorf,3070,25.5
53,Bülach,7230,30.6
54,Dietlikon,1950,24.8
55,Eglisau,1272,23
56,Embrach,2567,25.7
57,Freienstein-Teufen,450,18.8
58,Glattfelden,1217,23.1
59,Hochfelden,431,21.7
60,Höri,1020,30.8
61,Hüntwangen,198,18.1
62,Kloten,6567,31.3
63,Lufingen,704,25.4
64,Nürensdorf,1159,20.3
65,Oberembrach,215,19.7
66,Opfikon,7497,35.3
67,Rafz,1101,23.6
68,Rorbas,703,24.2
69,Wallisellen,5339,30.9
70,Wasterkingen,113,19.2
71,Wil (ZH),309,19.8
72,Winkel,1124,23.1
81,Bachs,127,20
82,Boppelsen,293,20.2
83,Buchs (ZH),1842,27.8
84,Dällikon,1098,25.7
85,Dänikon,436,23.4
86,Dielsdorf,1690,27.5
87,Hüttikon,175,18.2
88,Neerach,615,18.6
89,Niederglatt,1370,26.4
90,Niederhasli,2357,24.8
91,Niederweningen,669,21.7
92,Oberglatt,2360,31.4
93,Oberweningen,426,22.6
94,Otelfingen,661,22.4
95,Regensberg,74,15.9
96,Regensdorf,5242,28
97,Rümlang,2386,29.1
98,Schleinikon,231,26.8
99,Schöfflisdorf,238,17.5
100,Stadel,547,23.3
101,Steinmaur,931,25.8
102,Weiach,624,30
111,Bäretswil,1031,20.2
112,Bubikon,1568,20.9
113,Dürnten,1779,22.9
114,Fischenthal,609,23.4
115,Gossau (ZH),2360,22.8
116,Grüningen,932,24.2
117,Hinwil,2781,24
118,Rüti (ZH),3333,26.2
119,Seegräben,290,20.4
120,Wald (ZH),2594,25.1
121,Wetzikon (ZH),7428,28.5
131,Adliswil,5179,26.9
135,Kilchberg (ZH),2143,23
136,Langnau am Albis,1866,23.2
137,Oberrieden,1029,19.5
138,Richterswil,3010,21.5
139,Rüschlikon,1320,21.2
141,Thalwil,4564,24.8
151,Erlenbach (ZH),1082,19.1
152,Herrliberg,1244,18.4
153,Hombrechtikon,1966,21.9
154,Küsnacht (ZH),2946,19.9
155,Männedorf,2337,20.4
156,Meilen,2902,19.7
157,Oetwil am See,1189,24
158,Stäfa,2946,19.8
159,Uetikon am See,1285,20.3
160,Zumikon,934,16.6
161,Zollikon,2708,20.1
172,Fehraltorf,1580,23.3
173,Hittnau,763,20.3
176,Lindau,1280,22.4
177,Pfäffikon,2979,24.1
178,Russikon,873,19.4
180,Weisslingen,752,21.9
181,Wila,448,21.9
182,Wildberg,203,19.7
191,Dübendorf,9749,31.7
192,Egg,1716,19.5
193,Fällanden,2240,23.7
194,Greifensee,1174,22
195,Maur,2075,19.3
196,Mönchaltorf,891,21.6
197,Schwerzenbach,1342,26.1
198,Uster,9262,25.9
199,Volketswil,4787,24.7
200,Wangen-Brüttisellen,2092,25.8
211,Altikon,163,22.4
213,Brütten,462,21.4
214,Dägerlen,234,21.4
215,Dättlikon,141,17
216,Dinhard,376,21.7
218,Ellikon an der Thur,239,23.1
219,Elsau,819,22.1
220,Hagenbuch,269,23.4
221,Hettlingen,642,20.6
223,Neftenbach,1180,20.5
224,Pfungen,1074,26.5
225,Rickenbach (ZH),575,20.8
226,Schlatt (ZH),123,16.2
227,Seuzach,1718,22.3
