,BEZEICHNUNG_OFFIZIELL,GEMEINDENAME,BFS_NUMMER,GO_ABKUERZUNG_DE,lon,lat
60,Schwarzer Bären,St. Gallen,3203.0,AB-ab, 9.41536910826,47.42258878707
63,Stans,Stans,1509.0,ZB, 8.36658044639,46.95839692459
64,Sarnen,Sarnen,1407.0,ZB, 8.24749935852,46.89460627393
65,Engelberg,Engelberg,1402.0,ZB, 8.40298012584,46.81951711005
66,Engelberg,Engelberg,1402.0,ZB, 8.40298012584,46.81951711005
79,Les Planches (Aigle),Ormont-Dessous,5410.0,TPC, 7.05526999728,46.35534000045
90,Walenstadt,Walenstadt,3298.0,SBB, 9.31298145333,47.11987360856
98,Geschinen,Goms,6077.0,MGB-fo, 8.28210576169,46.49165333684
136,Le Locle-Col-des-Roches,Le Locle,6436.0,SBB, 6.72607086935,47.04988555627
152,Davos Monstein,Davos,3851.0,RhB, 9.76000999675,46.71591000208
159,Mörel,Mörel-Filet,6203.0,MGB-fo, 8.04714048292,46.35620868376
161,Martigny-Bourg,Martigny,6136.0,TMR-mo, 7.06973576311,46.09303992722
179,Uttigen,Uttigen,885.0,SBB, 7.58263043754,46.79431051787
263,Reiden,Reiden,1140.0,SBB, 7.96877438563,47.24146837213
323,Vuarennes,Montreux,5886.0,MOB, 6.91097000183,46.43912000232
324,Chernex,Montreux,5886.0,MOB, 6.91008000638,46.44591999613
332,Les Pléiades,Blonay - Saint-Légier,5892.0,MVR-cev, 6.9099399964,46.4833599942
333,Fayaux,Blonay - Saint-Légier,5892.0,MVR-cev, 6.90763000585,46.46997999963
366,Chiasso,Chiasso,5250.0,SBB, 9.03144956231,45.83216802638
367,Chiasso,Chiasso,5250.0,SBB, 9.03144956231,45.83216802638
394,Rothrist,Rothrist,4282.0,SBB, 7.87939646804,47.30645567946
395,Zürich Oerlikon,Zürich,261.0,SBB, 8.54413990999,47.41153004121
396,Zürich Oerlikon,Zürich,261.0,SBB, 8.54413990999,47.41153004121
397,Zürich Oerlikon,Zürich,261.0,SBB, 8.54413990999,47.41153004121
398,Zürich Hardbrücke,Zürich,261.0,SBB, 8.51712620147,47.38519789152
399,Glanzenberg,Dietikon,243.0,SBB, 8.4204418766,47.39887872507
400,Dübendorf,Dübendorf,191.0,SBB, 8.62342174423,47.40008035996
401,Männedorf,Männedorf,155.0,SBB, 8.69234611716,47.2534240277
402,Küsnacht Goldbach,Küsnacht (ZH),154.0,SBB, 8.57596418686,47.32685670593
403,Langwies ZH,Egg,192.0,FB, 8.69438999665,47.29605000203
404,Esslingen,Egg,192.0,FB, 8.70969000096,47.28786000186
405,Spital Zollikerberg,Zollikon,161.0,FB, 8.59679999891,47.34730999399
406,Maiacher,Zumikon,160.0,FB, 8.63107000145,47.32816999476
410,Embrach-Rorbas,Embrach,56.0,SBB, 8.58706884873,47.52059024025
446,Sarnen Nord,Sarnen,1407.0,ZB, 8.24912588173,46.90018398365
447,Sattel-Aegeri,Sattel,1371.0,SOB-sob, 8.62725202037,47.07986087931
452,Zürich Schweighof,Zürich,261.0,SZU, 8.50353176389,47.36494152936
453,Zürich Schweighof,Zürich,261.0,SZU, 8.50353176389,47.36494152936
454,Zürich Saalsporthalle,Zürich,261.0,SZU, 8.52196914528,47.35779536997
455,Zürich HB SZU,Zürich,261.0,SZU, 8.53935757275,47.37739265691
456,Zürich Giesshübel,Zürich,261.0,SZU, 8.52201633411,47.36261110252
485,Chamoson-St-Pierre-de-Clages,Chamoson,6022.0,SBB, 7.24109904693,46.18883638076
486,Läufelfingen,Läufelfingen,2852.0,SBB, 7.85623157727,47.39213289165
488,Walterswil-Striegel,Oftringen,4280.0,SBB, 7.963203602,47.31992356871
491,Rudolfstetten Hofacker,Rudolfstetten-Friedlisberg,4075.0,AVA-bd, 8.37695598729,47.36466872382
521,Häggenschwil-Winden,Egnach,4411.0,SOB-bt, 9.3587225775,47.50386331928
522,Wittenbach,Wittenbach,3204.0,SOB-bt, 9.3885482761,47.46284902117
523,Winkel am Zürichsee,Erlenbach (ZH),151.0,SBB, 8.5989883094,47.29720784526
524,Schlieren,Schlieren,247.0,SBB, 8.44724506334,47.39917636825
525,Schlieren,Schlieren,247.0,SBB, 8.44724506334,47.39917636825
526,Schlieren,Schlieren,247.0,SBB, 8.44724506334,47.39917636825
527,Schlieren,Schlieren,247.0,SBB, 8.44724506334,47.39917636825
528,Fehraltorf,Fehraltorf,172.0,SBB, 8.75028811504,47.38512280521
529,Uerikon,Stäfa,158.0,SBB, 8.75262520306,47.23586077474
562,Dietlikon,Dietlikon,54.0,SBB, 8.61927640456,47.42020206402
563,Bassersdorf,Bassersdorf,52.0,SBB, 8.6262209443,47.43857056161
564,Zizers,Zizers,3947.0,RhB, 9.55958999371,46.9348400002
589,Aesch BL,Aesch (BL),2761.0,SBB, 7.60306821023,47.4677446623
592,Finhaut,Finhaut,6214.0,TMR-mc, 6.97613107,46.08240442031
593,Feldbach,Hombrechtikon,153.0,SBB, 8.78349776635,47.23920356138
620,Tann-Dürnten,Dürnten,113.0,SBB, 8.85272272553,47.26837759228
623,Rüschlikon,Rüschlikon,139.0,SBB, 8.55516265484,47.30713187462
700,Baar Lindenpark,Baar,1701.0,SBB, 8.51705846014,47.18313669448
701,Niederhasli,Niederhasli,90.0,SBB, 8.48870740845,47.47833088352
702,Buchs-Dällikon,Buchs (ZH),83.0,SBB, 8.43560174397,47.4534053118
726,Genève-Eaux-Vives,Genève,6621.0,SBB, 6.16656958816,46.20144540654
878,Le Châtelard-Frontière,Finhaut,6214.0,TMR-mc, 6.94987904428,46.05325532521
880,Bühler,Bühler,3021.0,AB-ab, 9.42109131824,47.37297497602
921,Emmat,Egg,192.0,FB, 8.7018300056,47.2923799957
922,Emmat,Egg,192.0,FB, 8.7018300056,47.2923799957
923,Zollikerberg,Zollikon,161.0,FB, 8.60339999613,47.34604999491
924,Zollikerberg,Zollikon,161.0,FB, 8.60339999613,47.34604999491
925,Neue Forch,Küsnacht (ZH),154.0,FB, 8.6378399935,47.32581000031
926,Neue Forch,Küsnacht (ZH),154.0,FB, 8.6378399935,47.32581000031
927,Zürich Wollishofen,Zürich,261.0,SBB, 8.53360101346,47.34744024477
928,Zürich Wipkingen,Zürich,261.0,SBB, 8.52938237141,47.39303886877
929,Waldstatt,Waldstatt,3007.0,AB-ab, 9.28610992275,47.35751465129
930,Zürchersmühle,Urnäsch,3006.0,AB-ab, 9.29282385827,47.3301798057
931,Urnäsch,Urnäsch,3006.0,AB-ab, 9.28546301968,47.31783095248
934,Baar Neufeld,Baar,1701.0,SBB, 8.51778078343,47.18849295131
943,Bioggio,Bioggio,5151.0,FLP, 8.90889000394,46.01210999848
948,Tiefencastel,Albula/Alvra,3542.0,RhB, 9.57285999721,46.66387999955
952,Murten/Morat,Murten,2275.0,SBB, 7.11528264747,46.92534669122
983,Wil SG,Wil (SG),3427.0,SBB, 9.04099305047,47.46241324276
984,Wil SG,Wil (SG),3427.0,SBB, 9.04099305047,47.46241324276
988,Hüttlingen-Mettendorf,Hüttlingen,4590.0,SBB, 8.97455500758,47.58234363612
1066,Oberdorf BL,Oberdorf (BL),2892.0,BLT-blt, 7.7489099998,47.39211999761
1096,Hirschlang,Niederdorf,2891.0,BLT-blt, 7.75518999637,47.41012999762
1097,Hirschlang,Niederdorf,2891.0,BLT-blt, 7.75518999637,47.41012999762
1098,Niederdorf,Niederdorf,2891.0,BLT-blt, 7.75185999566,47.40438999372
1100,S. Maria Maggiore,,,SSIF, 8.46072696595,46.13659358984
1101,Druogno,,,SSIF, 8.43342355946,46.13314905715
1106,Prestinone,,,SSIF, 8.47967988988,46.13291178914
1107,Isella-Olgia,,,SSIF, 8.57621396051,46.1391232211
1148,Verigo,,,SSIF, 8.35151679238,46.12174139493
1149,Trontano,,,SSIF, 8.33400252886,46.1226913647
1264,Echallens,Echallens,5518.0,LEB, 6.63254000187,46.63950999624
1265,Echallens,Echallens,5518.0,LEB, 6.63254000187,46.63950999624
1297,Petit-Martel-Est,Les Ponts-de-Martel,6437.0,TRN-cmn, 6.76680466734,47.01458739009
1319,Corbier,Collombey-Muraz,6152.0,TPC, 6.95143999583,46.27217999937
1406,Le Creux-des-Biches,Le Noirmont,6754.0,CJ, 6.94066200359,47.20346400034
1557,Arosa,Arosa,3921.0,RhB, 9.67932999786,46.78328999668
1571,Menziken,Menziken,4139.0,AVA-wsb, 8.18931877764,47.2409222172
1573,Weinfelden,Weinfelden,4946.0,SBB, 9.10636822199,47.56622426324
1574,Weinfelden,Weinfelden,4946.0,SBB, 9.10636822199,47.56622426324
1589,Epesses,Bourg-en-Lavaux,5613.0,SBB, 6.74516603412,46.48932879521
1590,Mannenbach-Salenstein,Salenstein,4851.0,SBB, 9.05280407791,47.67364947961
1617,Aarau,Aarau,4001.0,SBB, 8.0512737187,47.39135951418
1618,Aarau,Aarau,4001.0,SBB, 8.0512737187,47.39135951418
1619,Aarau,Aarau,4001.0,SBB, 8.0512737187,47.39135951418
1622,Davos Platz,Davos,3851.0,RhB, 9.82073000458,46.79146999373
1623,Davos Platz,Davos,3851.0,RhB, 9.82073000458,46.79146999373
1628,Grolley,Grolley,2200.0,SBB, 7.06605254437,46.83197884479
1699,Colombier NE,Milvignes,6416.0,SBB, 6.84886974332,46.96765238952
1748,Holzhäusern,Niederbipp,981.0,ASM-rvo, 7.71040000047,47.25815999863
1758,Giubiasco,Bellinzona,5002.0,SBB, 9.00360008896,46.17381273155
1761,Buchrain,Ebikon,1054.0,SBB, 8.35665850185,47.09364991512
1762,Courtemaîche,Basse-Allaine,6807.0,SBB, 7.05538017512,47.45586918375
1781,Visp,Visp,6297.0,SBB, 7.88146547575,46.29402913541
1798,Münsingen,Münsingen,616.0,SBB, 7.55944239602,46.87335414995
1809,Rodels-Realta,Cazis,3661.0,RhB, 9.43293000325,46.73513999375
1832,Netstal,Glarus,1632.0,SBB, 9.05943590574,47.06452902199
1882,Sonceboz-Sombeval,Sonceboz-Sombeval,444.0,SBB, 7.16876357856,47.1951483572
1883,Sonceboz-Sombeval,Sonceboz-Sombeval,444.0,SBB, 7.16876357856,47.1951483572
1886,Biel/Bienne,Biel/Bienne,371.0,SBB, 7.24291060323,47.13289787087
1902,Kehrsatz Nord,Kehrsatz,870.0,BLS-gbs, 7.46610906448,46.91583636835
1903,Niederscherli,Köniz,355.0,BLS-gbs, 7.38807012176,46.88643697909
1931,Tavannes,Tavannes,713.0,SBB, 7.20164538962,47.21984466032
1942,Fribourg/Freiburg Poya,Fribourg,2196.0,SBB, 7.15648590497,46.81557959483
1953,Thörishaus Station,Köniz,355.0,SBB, 7.35702880474,46.90462573787
1960,Castione-Arbedo,Arbedo-Castione,5001.0,SBB, 9.04146180622,46.22292165315
1961,Olten,Olten,2581.0,SBB, 7.90769964791,47.35193475928
1962,Fribourg/Freiburg,Fribourg,2196.0,SBB, 7.15104688334,46.80314817219
1967,Kandersteg,Kandersteg,565.0,BLS-bls, 7.6714125588,46.49539665055
1988,Biasca,Biasca,5281.0,SBB, 8.97417921686,46.35198415242
1989,Brünig-Hasliberg,Meiringen,785.0,ZB, 8.13865406129,46.75776257158
1991,Worb SBB,Worb,627.0,SBB, 7.56485160662,46.91522998631
1992,Bargen BE,Bargen (BE),302.0,SBB, 7.26118041111,47.04016166802
1995,Solothurn,Solothurn,2601.0,SBB, 7.54268921098,47.20419250289
1996,Solothurn,Solothurn,2601.0,SBB, 7.54268921098,47.20419250289
1997,Solothurn,Solothurn,2601.0,SBB, 7.54268921098,47.20419250289
1998,Solothurn,Solothurn,2601.0,SBB, 7.54268921098,47.20419250289
2001,Flamatt,Wünnewil-Flamatt,2309.0,SBB, 7.31957081153,46.8884913573
2002,Flamatt,Wünnewil-Flamatt,2309.0,SBB, 7.31957081153,46.8884913573
2026,Zäziwil,Zäziwil,628.0,SBB, 7.66288211121,46.89975231198
2032,S. Antonino,Sant'Antonino,5017.0,SBB, 8.96952064604,46.15904913857
2033,Altdorf UR,Altdorf (UR),1201.0,SBB, 8.63157541744,46.87573871329
2039,Spiez,Spiez,768.0,BLS-bls, 7.6801030578,46.68639566836
2040,Wynigen,Wynigen,424.0,SBB, 7.6635068635,47.10517483139
2041,Wynigen,Wynigen,424.0,SBB, 7.6635068635,47.10517483139
2079,Gümligen,Muri bei Bern,356.0,SBB, 7.50550479629,46.9343219188
2081,Interlaken Ost,Interlaken,581.0,BOB, 7.86900000435,46.6904999962
2082,Interlaken Ost,Interlaken,581.0,BOB, 7.86900000435,46.6904999962
2083,Interlaken Ost,Interlaken,581.0,BOB, 7.86900000435,46.6904999962
2094,Aarwangen,Aarwangen,321.0,ASM-rvo, 7.76961920518,47.24087528996
2147,Stettlen,Stettlen,358.0,RBS, 7.524099998,46.95681999739
2151,Reconvilier,Reconvilier,703.0,SBB, 7.22741792534,47.23523833295
2152,Reconvilier,Reconvilier,703.0,SBB, 7.22741792534,47.23523833295
2160,Crémines,Crémines,691.0,BLS-smb, 7.43547730929,47.28560833472
2163,Broc-Village,Broc,2124.0,TPF, 7.09873999895,46.60405000135
2262,Kerzers,Kerzers,2265.0,SBB, 7.19281016807,46.97507896332
2279,La Chèvrerie-Monterêt,Arzier-Le Muids,5702.0,NStCM, 6.18350999736,46.44847999763
2368,Ramsei,Lützelflüh,955.0,BLS-ebt, 7.70993011037,46.99687699751
2370,Moosseedorf,Moosseedorf,544.0,RBS, 7.48484999391,47.01614000097
2387,St. Niklaus VS,St. Niklaus,6292.0,MGB-bvz, 7.80208383825,46.17734145632
2423,Bowil,Bowil,605.0,SBB, 7.69805352593,46.90004819359
2465,Boll-Utzigen,Vechigen,359.0,RBS, 7.54677286673,46.9530205355
2663,Cavaglia,Poschiavo,3561.0,RhB, 10.04413999727,46.36431999646
2664,Hölstein,Hölstein,2886.0,BLT-blt, 7.7711399953,47.42741999982
2676,Alp Grüm,Poschiavo,3561.0,RhB, 10.03114000202,46.37474999359
