,web-scraper-order,name,description,price,address,category,date_formatted,time_from,time_until,duration_seconds,is_concert,description_len
0,1701178304-1235,Live-Musik mit Sina Anastasia,"ihr name *ein hauch von melodie*  ihre ausstrahlung *ein stern der zu leuchten beginnt *  ihre stimme *engelhaft, die mit einem kraftvollen volumen überrascht, verzaubert und die herzen der gäste höher schlagen lässt*  eine kleine frau mit großer stimme – bietet ihnen ein vielseitiges repertoire von pop, rock, 60er - 90er, country, soul, musical und gospel.  ihre professionelle, ausdrucksstarke und ausgebildete stimme machen es ihr möglich, verschiedene stilrichtungen zu singen.  freier eintritt / kollekte  bitte reservieren.  türöffnung 17:30 uhr, eingang über die grosse treppe an der baselstrasse.  theaterbestuhlung im saal, essen und getränke werden von 17:30 uhr bis 19 uhr und in der 1. pause im foyer serviert. in der 2. pause gibt es nur noch getränke.   wir nehmen nur bargeld.  es gibt gäste die mögen am abend nicht essen und trinken.   was wir grundsätzlich verstehen.  da wir mit den einnahmen von der verpflegung alle unkosten wie miete, bewilligungen, versicherungen, werbung, die verpflegung für die musiker und die freiwilligenhelfer usw. bezahlen.  müssen wir neu den gästen die sich nicht verpflegen mögen 10.-- fr. für die unkosten verlangen. kann an der abendkasse bezahlt werden.  die kollekte für die musiker wird weiterhin während dem ... 								 									 mehr anzeigen 								 							 							 																	ihr name *ein hauch von melodie*  ihre ausstrahlung *ein stern der zu leuchten beginnt *  ihre stimme *engelhaft, die mit einem kraftvollen volumen überrascht, verzaubert und die herzen der gäste höher schlagen lässt*  eine kleine frau mit großer stimme – bietet ihnen ein vielseitiges repertoire von pop, rock, 60er - 90er, country, soul, musical und gospel.  ihre professionelle, ausdrucksstarke und ausgebildete stimme machen es ihr möglich, verschiedene stilrichtungen zu singen.  freier eintritt / kollekte  bitte reservieren.  türöffnung 17:30 uhr, eingang über die grosse treppe an der baselstrasse.  theaterbestuhlung im saal, essen und getränke werden von 17:30 uhr bis 19 uhr und in der 1. pause im foyer serviert. in der 2. pause gibt es nur noch getränke.   wir nehmen nur bargeld.  es gibt gäste die mögen am abend nicht essen und trinken.   was wir grundsätzlich verstehen.  da wir mit den einnahmen von der verpflegung alle unkosten wie miete, bewilligungen, versicherungen, werbung, die verpflegung für die musiker und die freiwilligenhelfer usw. bezahlen.  müssen wir neu den gästen die sich nicht verpflegen mögen 10.-- fr. für die unkosten verlangen. kann an der abendkasse bezahlt werden.  die kollekte für die musiker wird weiterhin während dem konzert eingezogen.  reservierte und nicht abgemeldete plätze werden mit fr. 30.00 in rechnung gestellt ( inkl. bearbeitungsgebühr ).  gäste mit rollstuhl/rollator bitte vorgängig unter 0041 78 653 00 04 melden. 									 										 weniger anzeigen",,"Kellertheater im Haus der Vereine, Baselstrasse 43, Riehen, CH",Konzert / Singer & Songwriter,2023-12-01,19:00,22:00,10800.0,1,2860.0
1,1701178306-1236,"Metal Marmot, 1. - 2. Dezember 2023","metal marmot im dezember 2023: freitag 1. dezember und samstag 2. dezember im hotel simplon in frutigen.  dieses jahr sind unter anderem exumer (de), tankard (de), pertness, excelsis, eddies beast, constraint, days of ruin, junkie rose am start!",40.0,"Hotel Simplon, Kanderstegstrasse 25, Frutigen, CH",Konzert / Hard Rock & Heavy Metal,2023-12-01,19:00,,,1,245.0
2,1701178308-1237,JAMfreeday,"alle sind herzlich eingeladen um zu musizieren, tanzen oder einfach nur sein.  <br>   <br> instrumente und auch equipment ist vorhanden um deine eigenen instrumente zum klingen zu bringen.",,"Dä 3.Stock, Industriestrasse, 28, Herisau, CH",Konzert,2023-12-01,19:00,,,1,188.0
3,1701178310-1238,Am Hummelwald,"der kurzprosaband ""am hummelwald - miniaturen einer kindheit""&nbsp;der schriftstellerin&nbsp;brigitte schmid-gugler inspirierte die beiden ausnahmekünstlerinnen&nbsp;isa wiss&nbsp;und&nbsp;vera kappeler&nbsp;zu einem literarischen konzert über das kind. sie stellen den berührenden texten der st.galler autorin deutsche lieder, abzählreime und experimentelle klänge gegenüber.der bühnen-abend erzählt von brüchen, vom&nbsp;zerbrechlichen, von kindlicher (spiel-)freude, von staunen, neugierde, vertrauen und von dessen erschütterung durch eine schroffe erwachsenenwelt.vera kappeler&nbsp;spielt auf ihrem transportablen harmonium, singt und spielt cyberpiano, kalimba oder toy-piano –&nbsp;isa wiss&nbsp;singt, liest und spielt handharmonium, toy-piano oder flöten.die umsetzung der texte aus ""am hummelwald"" für die bühne ist die erste zusammenarbeit der beiden musikerinnen im duo.mit: vera kappeler und isa wiss text: brigitte schmid-gugler auge v. aussen: peter conradin zumthor dramaturgie: brigitte schmid-gugler und peter conradin zumthorkollekte.&nbsp;",,"Raum für Literatur, St.Leonhard-Strasse 40, St.Gallen, CH",Konzert,2023-12-01,19:00,,,1,1060.0
4,1701178312-1239,BELPHEGOR 30 Year Tour Special Guest: Arkona & Atrocity,"belphegor marschiert durch europa winter mmxxiii!     die teuflischen black-death-metal-titanen belphegor sind stolz, die zweite etappe ihrer „30 year anniversary processions“ in ganz europa anzukündigen, um ihr neuestes, stärkstes und erfolgreichstes album „the devils“ zu unterstützen. zu den besonderen gästen auf dieser reise gehören die russische metal-gruppe arkona, die ihr neuestes album „kob“ promotet, alex krulls atrocity [ger] mit ihrem neuesten album „okkult iii“ und confess [no/ iran]. die tour beginnt in der schweiz in der musigburg in aarburg.     belphegor: https://www.youtube.com/watch?v=zvwuutfwy8m     arkona: https://www.youtube.com/watch?v=vsoejpbchkw     atrocity: https://www.youtube.com/watch?v=dyehmvrzpc8",38.0,"Musigburg, Aarburg, CH",Konzert / Hard Rock & Heavy Metal,2023-12-01,19:00,23:50,17400.0,1,734.0
5,1701178314-1240,Leandro,leandro ao vivo com suas canções romanticas  uma das melhores vozes portuguesas,53.0,"HAUS DER KÜNSTE - CASA DAS ARTES - ART'S, Industriestrasse 3, Niederlenz, CH",Konzert / Weitere Musikrichtungen,2023-12-01,19:00,02:00,25200.0,1,79.0
6,1701178316-1241,Mimiks & LCone,"der musikalische erfolg ist für mimiks und lcone auch heute manchmal kaum zu glauben, denn abseits der grossen bühne konnten sie in sachen coolness eher selten brillieren. eine unspektakuläre adoleszenz gespickt mit zahlreichen unsicherheiten und beruflichen anlaufschwierigkeiten eint die beiden luzerner. die meisten ihrer eingeschlagenen wege liefen ins leere. erst die musik verschaffte ihnen eine stabile identität und machte sie zu denen, die sie heute sind. 2023 ist es endlich so weit: die langjährigen freunde gehen auf ihre erste gemeinsame tour. eine brachiale live-show gefüllt mit allen hits und speziellen gästen. wer schon einmal an einer 041 show war, weiss: der abriss ist mehr als garantiert.",,"Dynamo, Wasserwerkstrasse 21, Zürich, CH",Konzert / Hip-Hop & Rap,2023-12-01,19:00,,,1,710.0
7,1701178318-1242,40 Jahre Radio Pilatus,"es ist ein besonderer tag: radio pilatus feiert sein 40-jähriges bestehen! diesen meilenstein möchten wir mit euch feiern und haben uns deswegen etwas ganz besonderes ausgedacht. wir präsentieren euch im kleinen rahmen unvergessliche musikalische erlebnisse mit 77 bombay street, chiara castelli und run! nach den konzerten gibt es party mit dj thomas erni.",,"Schüür, Tribschenstrasse 1, Luzern, CH",Konzert,2023-12-01,19:00,,,1,357.0
8,1701178320-1243,Facettenkonzert IV: Trouvailles,"valeria curti, fagott – seif el-din-sherif, klavier das programm dieses facetten konzertes bringt vergessene werke für fagott, nach teilweise über hundert jahren wieder zur aufführung. wussten sie, dass sogar manuskripte von rossini oder gounod unverlegt in dunklen archiven vor sich hin schlummerten?&nbsp; freuen sie sich auf vergessene juwelen im opernhaften italienischen-, intimen deutschen- und impressionistischem französischen stil.",,"Konservatorium, Tössertobelstrasse 1, Winterthur, CH",Konzert,2023-12-01,19:00,,,1,440.0
9,1701178322-1244,Back – zrugg: Irish–schwiizerische» Geschichten mit Musik.,"eine geschichte aus irland, eine aus uri – dort ein mann, hier eine frau, die als auswanderer-kinder in amerika geboren wurden und mit ihren eltern wieder in die heimat zurückgekehrt sind – einblicke in lebenswelten, die von grosser armut und ein paar lichtblicken geprägt waren.  danièle viviane liest ausschnitte aus zwei werken.  musik aus irland und der schweiz: thomas bachmann (git; mand), ueli tribelhorn (voc, git) und bert weber (git; mand).  ab 17 uhr irish stew.",,"Alter Konsum, Bachstrasse 72, Suhr, CH",Konzert / Singer & Songwriter,2023-12-01,19:00,21:00,7200.0,1,473.0
