BFS_NR,GEO_NAME,VALUE,UNIT,STATUS,STATUS_DESC,DESC_VAL,PERIOD_REF,SOURCE,LAST_UPDATE,GEOM_CODE,GEOM,GEOM_PERIOD,MAP_ID,MAP_URL
1,Aeugst am Albis,249.9,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
2,Affoltern am Albis,1123.7,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
3,Bonstetten,731.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
4,Hausen am Albis,262.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
5,Hedingen,564.6,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
6,Kappel am Albis,140.2,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
7,Knonau,335.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
8,Maschwanden,133.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
9,Mettmenstetten,373.1,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
10,Obfelden,680.5,Einwohner pro km²,A,Normaler Wert,,2016-12-31,"BFS – Arealstatistik der Schweiz (AREA), Statistik der Bevölkerung und der Haushalte (STATPOP)",2021-10-23,polg,Politische Gemeinden,2016-07-01,20695,https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/20695_de.html
