web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1695389149-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","4 Zimmer, 92 m², CHF 2340.—","8404 Winterthur, ZH","CHF 2340.—","«MÖBLIERT: 4 ZI-WOHNUNG IN WINTERTHUR - OBERWINTERTHUR»","MIETDAUER ab 1. Januar 2024 (mind. 3 Monate) Kein Wlan vorhanden, da ich alles mit Hotspot bediene, 92m², im 2. Stock, 1 Balkon, 1 eigene Garage, Öffentliche Parkplätze in der Nähe, Autobahneinfahrt in der Nähe. Inkl. Heizung, Strom, Wasser, TV (inkl. Anschluss und Abo), ... Weitere Infos, Fragen & Besichtigen: ums.ch/angebots-detail/60467/English: ums.ch/offer-detail/60467/Français: ums.ch/offre-detail/60467/"
"1695389149-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","1,5 Zimmer, 36 m², CHF 2100.—","Zürcherstrasse 143, 8406 Winterthur, ZH","CHF 2100.—","«BUSINESS APARTMENT - FULLY FURNISHED»","An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 1.5-Zimmer-Wohnung. Die Wohnung ist einem modern saniertem und grosszügigen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt zudem über eine Loggia, grosse Dusche mit Glastrennwand, moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich zahlreic"
"1695389149-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","4,5 Zimmer, 89 m², CHF 2490.—","Freiestrasse 57, 8406 Winterthur, ZH","CHF 2490.—","«Top moderne und gehobene Wohnung»","Wir vermieten per 1. Oktober 2023 oder nach Vereinbarung eine moderne 4.5-Zimmerwohnung im 2. OG mit grossem Home-Office Raum im Dachgeschoss (kann auch als zusätzliche Wohnfläche oder Spielfläche genutzt werden). Die Wohnung besticht mit einem durchdachten Raum- sowie Materialisierungskonzept und verfügt über einen top Ausbaustandard. Die Highlights kurz zusammengefasst:- Heller Plattenbelag im Wohn-/Küchenbereich und Schlafzimmer- Stillvolle weisse Küche mit Granit-Abstellfläche, Glaskeramikherd, Backofen und Steamer und Kühlschrank mit Gefri"
"1695389149-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","3,5 Zimmer, 97 m², CHF 2171.—","Neustadtgasse 1a, 8400 Winterthur, ZH","CHF 2171.—","«Leben im Zentrum von Winterthur»","Sind sie auf der Suche nach einem neuen Zuhause im Herzen von Winterthur? Dann haben wir das perfekte Objekt für Sie! Mitten in der Altstadt von Winterthur vermieten wir eine gemütliche 3.5 Zimmer-Wohnung. Die Wohnung im 3. Obergeschoss erreichen Sie mit dem Lift und via Treppe gelangen Sie in das Studio, welches im Dachgeschoss liegt. Die Wohnung bietet Ihnen folgende Highlights:praktischer Grundrissoffene Küche mit Geschirrspüler, Glaskeramikherd und hochliegendem Backofenoffener Wohn-/Essbereich eigener Waschturmzentrale LageFür einen Besich"
"1695389149-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","3,5 Zimmer, 171 m², Preis auf Anfrage","Ernst-Jung-Gasse 16B, 8400 Winterthur, ZH","Preis auf Anfrage","«Erstbezug in 3.5 Zimmer-Maisonette-Wohnung in Winterthur»","Wir bieten per Juni 2023 dieses aussergewöhnliche Duplex-Apartment an, welches sowohl als reines Büro/Atelier wie auch als reiner Wohnraum genutzt werden kann. Es befindet sich in der neuen Lokstadt Überbauung und ist sehr zentral gelegen. Die Siedlung bietet viele Opportunitäten und befindet sich wenige Gehminuten vom Bahnhof Winterthur entfernt. In der unteren Etage findet man eine offene und moderne Küche mit höchstem Ausbaustandard sowie eine grosszügige Wohnfläche mit einem separaten Nassraum. Über die Wendeltreppe wird man in den oberen B"
"1695389149-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","2,5 Zimmer, 55 m², CHF 1770.—","Wülflingerstrasse 155, 8408 Winterthur, ZH","CHF 1770.—","«Urbanes Wohnerlebnis»","Per sofort oder nach Vereinbarung vermieten wir diese schöne 2.5-Zimmerwohnung im Herzen von Winterthur. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Schlafzimmer mit Laminatboden- Küche und Nasszelle mit pflegeleichtem Boden- Grosses Wohnzimmer mit viel Tageslicht- Helles und geräumiges Zimmer- Küche mit Glaskeramikherd, Geschirrspüler, und ausreichend Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Dusche- Korridor mit praktischen Einbauschränken- Waschküche und Trockenraum zur Mitbenutzung Haustiere"
"1695389149-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","2,5 Zimmer, 55 m², CHF 2450.—","Tössfeldstrasse 67, 8406 Winterthur, ZH","CHF 2450.—","«Exklusives Business Apartment»","An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 2.5-Zimmer-Wohnung. Die Wohnung ist einem modern saniertem und grosszügigen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt zudem über einen Balkon, grosse Badewanne, Reduit in der Wohnung, moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich"
"1695389149-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","1,5 Zimmer, 36 m², CHF 2100.—","Zürcherstrasse 143, 8406 Winterthur, ZH","CHF 2100.—","«BUSINESS APARTMENT - Voll möbliert»","An zentraler Lage in Winterthur vermieten wir eine hochwertig möblierte 1.5-Zimmer-Wohnung. Die Wohnung ist in einem modernen Mehrfamilienhaus in Winterthur. Grosszügige Fenster garantieren einen lichtdurchfluteten Raum mit angenehmer Wohnatmosphäre. Die Wohnung verfügt über eine Loggia, grosse Dusche mit Glastrennwand, eigene WM/TU, eine moderne Küche und einem praktischen Grundriss.Die Bushaltestelle befindet sich nur wenige Meter entfernt und bringt Sie bequem zum Hauptbahnhof Winterthur. In der nahen Umgebung befinden sich zahlreiche Restau"
"1695389149-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","3,5 Zimmer, 88 m², CHF 1990.—","Wieshofstrasse 24, 8408 Winterthur, ZH","CHF 1990.—","«Renovierte Altbauwohnung in Wülflingen»",""
"1695389149-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=6","3,5 Zimmer, 85 m², CHF 2716.—","Hirschweg 35, 8405 Winterthur, ZH","CHF 2716.—","«MODERNE Attika-Wohnung in Winterthur!»","Diese schöne Attika-Wohnung befindet sich in Winterthur im Stadtkreis Seen. Diverse Einkaufsmöglichkeiten, Restaurants und Schulen befindet sich in unmittelbarer Nähe. Das Einkaufszentrum Shopping Seen ist in 4 Fahrminuten oder 12 Minuten zu Fuss erreichbar. Der Autobahnzubringer ist nur in zwei Fahrminute entfernt. Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich. Highlights:moderne Küche mit hochwertigen Geräten lichtdurchfluteter Wohn-/EssbereichB"
