type,id,lat,lon,brand,shop,city,street,housenumber,postcode,opening_hours
node,36726161,47.2261912,8.9803292,Migros,supermarket,Uznach,Zürcherstrasse,25,8730,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 07:30-17:00; PH off"
node,39947904,47.3767316,8.5421608,Coop,supermarket,Zürich,Bahnhofbrücke,1,8001,Mo-Sa 06:00-22:00
node,48932835,47.37502,8.522895,Migros,supermarket,Zürich,Wengistrasse,7,8004,Mo-Sa 08:00-21:00; PH off
node,70656488,47.4918744,8.7064484,Migros,supermarket,Winterthur,Zürcherstrasse,102,8406,Mo-Fr 07:30-20:00; PH off; Sa 08:00-19:00
node,75749133,47.3409666,8.5306007,ALDI,supermarket,Zürich,Albisstrasse,81,8038,Mo-Sa 07:30-21:00
node,79977755,47.3400698,8.5305461,Coop,supermarket,Zürich,Alte Kalchbühlstrasse,15,8038,Mo-Sa 07:30-21:00
node,83330862,47.3447487,8.5299814,Migros,supermarket,Zürich,Etzelstrasse,3,8038,Mo-Sa 07:30-21:00; PH off
node,97995346,47.0947404,9.0745369,Spar,supermarket,Mollis,Bahnhofstrasse,4,8753,"Mo-Fr 07:30-13:00, 19:00-19:00; Sa 07:30-16:00"
node,119249170,47.3752549,8.5361073,Migros,supermarket,Zürich,Löwenstrasse,31-35,8001,Mo-Sa 09:00-20:00; PH off
node,124140239,47.2414948,8.7183709,ALDI,supermarket,Stäfa,Häldelistrasse,11,8712,Mo-Sa 08:00-20:00
node,124140551,47.2406357,8.7239602,Migros,supermarket,Stäfa,Goethestrasse,18,8712,Mo-Sa 08:00-20:00; PH off
node,124141245,47.241531,8.724530099999999,Coop,supermarket,Stäfa,Kronenstrasse,4-6,8712,Mo-Sa 07:30-20:00
node,185627927,47.3871106,8.1771397,Migros,supermarket,Lenzburg,Bachstrasse,15,5600,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,206357901,47.0544427,8.3398988,Migros,supermarket,Luzern,Kreuzbuchstrasse,53,6006,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,243155987,47.520631,7.6937067,Migros,supermarket,Pratteln,Burggartenstrasse,21,4133,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,246533376,47.5189532,8.720071,Migros,supermarket,Winterthur,Schaffhauserstrasse,152,8400,"Mo-Fr 08:30-20:00, Sa 08:00-18:00; PH off"
node,246803579,46.7677766,9.0624868,Volg,supermarket,Breil/Brigels,Via Principala,36,7165,Mo-Fr 07:30-18:30; Sa 07:30-17:00
node,248973330,47.2036113,9.3503443,Spar,supermarket,Wildhaus,Dorf,3,9658,Mo-Fr 07:00-18:30;Sa 07:00-17:00
node,251364444,47.567643,9.1108744,Migros,supermarket,Weinfelden,Amriswilerstrasse,12,8570,"Mo-Fr 08:00-19:00, Sa 08:00-18:00; PH off"
node,253909831,47.3773676,9.5378606,Migros,supermarket,Altstätten,Stossstrasse,2,9450,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,262400822,47.3640724,8.5309446,Migros,supermarket,Zürich,Tessinerplatz,10,8002,"Mo-Fr 06:30-22:00; PH,Sa-Su 08:00-22:00"
node,264065177,47.4135249,8.5918701,Migros,supermarket,Wallisellen,Bahnhofstrasse,30,8304,Mo-Sa 07:00-20:00; PH off
node,264072829,47.4673262,8.293462,VOI Migros Partner,supermarket,Baden,Mellingerstrasse,142,5400,"Mo-Fr 07:00-20:00, Sa 07:00-18:00"
node,265776668,47.376417000000004,8.5595945,Coop,supermarket,Zürich,Zürichbergstrasse,75,8044,Mo-Fr 07:30-21:00; Sa 07:30-20:00
node,266571580,47.4821521,8.2094058,Migros,supermarket,Brugg,Neumarkt,1,5200,Mo-Sa 08:00-20:00; PH off
node,266630559,47.3777162,8.5112192,Coop,supermarket,Zürich,Badenerstrasse,333,8003,Mo-Sa 07:00-22:00
node,266644613,47.1688761,7.9926369,Coop,supermarket,Schötz,Luzernerstrasse,27,6247,"Mo 08:00-17:00; Tu-Th 08:00-19:00; Fr 08:00-20:00; Sa 07:30-17:00; Su,PH off"
node,266914642,47.2603539,8.5972571,Migros,supermarket,Horgen,Alte Landstrasse,24,8810,Mo-Sa 08:00-20:00; PH off
node,267344304,47.3883215,8.4965956,ALDI,supermarket,Zürich,Hohlstrasse,473,8048,Mo-Sa 07:30-21:00
